RoughTEOS_02.dat
2025/06/06 14:53:31 - 15:31:03
É∆ : 34.5251 deg
2É∆ : 69.5884 deg
É‘ : 90.3040 deg
É” : 0.0000 deg
Sz : 13.300 mm
Rx : 0.0000 deg
Ry : -0.0233 deg
I0 slit H : 0.10 mm
I0 slit W : 5.00 mm
R1 slit H : 0.10 mm
R1 slit W : 5.00 mm
R2 slit H : 0.10 mm
R2 slit W : 5.00 mm
Scan axis : 2É∆/É∆
Start: 68.5884 deg, End: 70.5884 deg
Step: 0.0100 deg, Time:10.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   69.7284,          1247,       3224.3374,     1.00000E+0
   69.7384,           973,       3226.2034,     1.00000E+0
   69.7484,           733,       3231.9525,     1.00000E+0
   69.7584,           623,       3240.9645,     1.00000E+0
   69.7684,           508,       3240.5555,     1.00000E+0
   69.7784,           396,       3231.3609,     1.00000E+0
   69.7884,           365,       3219.2494,     1.00000E+0
   69.7984,           250,       3209.0266,     1.00000E+0
   69.8084,           239,       3207.9418,     1.00000E+0
   69.8184,           203,       3219.7352,     1.00000E+0
   69.8284,           169,       3227.8694,     1.00000E+0
   69.8384,           149,       3229.3181,     1.00000E+0
   69.8484,           136,       3224.0192,     1.00000E+0
   69.8584,           115,       3219.3145,     1.00000E+0
   69.8684,            91,       3213.7988,     1.00000E+0
   69.8784,            86,       3210.9788,     1.00000E+0
   69.8884,           113,       3210.4988,     1.00000E+0
   69.8984,            71,       3208.7612,     1.00000E+0
   69.9084,            59,       3206.2230,     1.00000E+0
   69.9184,            59,       3204.0025,     1.00000E+0
   69.9284,            44,       3207.1362,     1.00000E+0
   69.9384,            53,       3206.1037,     1.00000E+0
   69.9484,            41,       3204.7103,     1.00000E+0
   69.9584,            30,       3203.0555,     1.00000E+0
   69.9684,            43,       3202.7885,     1.00000E+0
   69.9784,            20,       3201.9251,     1.00000E+0
   69.9884,            29,       3198.8155,     1.00000E+0
   69.9984,            30,       3200.3365,     1.00000E+0
   70.0084,            18,       3198.6120,     1.00000E+0
   70.0184,            23,       3194.9377,     1.00000E+0
   70.0284,            24,       3195.4796,     1.00000E+0
   70.0384,            15,       3197.6432,     1.00000E+0
   70.0484,            14,       3192.2291,     1.00000E+0
   70.0584,            18,       3184.9641,     1.00000E+0
   70.0684,             9,       3187.3005,     1.00000E+0
   70.0784,             8,       3190.0415,     1.00000E+0
   70.0884,            13,       3188.0708,     1.00000E+0
   70.0984,             7,       3178.3396,     1.00000E+0
   70.1084,            16,       3175.2110,     1.00000E+0
   70.1184,            19,       3174.5771,     1.00000E+0
   70.1284,            11,       3171.4925,     1.00000E+0
   70.1384,             8,       3169.7194,     1.00000E+0
   70.1484,             9,       3169.6261,     1.00000E+0
   70.1584,            11,       3174.5290,     1.00000E+0
   70.1684,             7,       3174.4257,     1.00000E+0
   70.1784,             6,       3173.4039,     1.00000E+0
   70.1884,            13,       3179.7455,     1.00000E+0
   70.1984,             9,       3179.9980,     1.00000E+0
   70.2084,             3,       3169.7231,     1.00000E+0
   70.2184,             7,       3160.6716,     1.00000E+0
   70.2284,             5,       3155.9276,     1.00000E+0
   70.2384,             4,       3154.2857,     1.00000E+0
   70.2484,             4,       3157.3017,     1.00000E+0
   70.2584,             9,       3158.1029,     1.00000E+0
   70.2684,             4,       3154.0175,     1.00000E+0
   70.2784,             5,       3151.1262,     1.00000E+0
   70.2884,             5,       3150.0926,     1.00000E+0
   70.2984,             2,       3150.7668,     1.00000E+0
   70.3084,             4,       3149.7332,     1.00000E+0
   70.3184,             4,       3146.5699,     1.00000E+0
   70.3284,             2,       3145.5588,     1.00000E+0
   70.3384,             6,       3146.2109,     1.00000E+0
   70.3484,             3,       3149.1243,     1.00000E+0
   70.3584,             4,       3147.5594,     1.00000E+0
   70.3684,             3,       3144.6546,     1.00000E+0
   70.3784,             3,       3145.4349,     1.00000E+0
   70.3884,             2,       3143.4161,     1.00000E+0
   70.3984,             4,       3140.3263,     1.00000E+0
   70.4084,             4,       3136.0122,     1.00000E+0
   70.4184,             3,       3136.4602,     1.00000E+0
   70.4284,             1,       3131.8442,     1.00000E+0
   70.4384,             6,       3124.6823,     1.00000E+0
   70.4484,             1,       3120.5613,     1.00000E+0
   70.4584,             1,       3118.6784,     1.00000E+0
   70.4684,             2,       3125.5697,     1.00000E+0
   70.4784,             2,       3133.3020,     1.00000E+0
   70.4884,             3,       3135.4378,     1.00000E+0
   70.4984,             2,       3130.6475,     1.00000E+0
   70.5084,             2,       3124.2438,     1.00000E+0
   70.5184,             5,       3113.0266,     1.00000E+0
   70.5284,             2,       3111.0066,     1.00000E+0
   70.5384,             1,       3110.7173,     1.00000E+0
   70.5484,             2,       3112.0680,     1.00000E+0
   70.5584,             5,       3113.6517,     1.00000E+0
   70.5684,             1,       3119.3050,     1.00000E+0
   70.5784,             0,       3114.3961,     1.00000E+0
   70.5884,             4,       3112.5377,     1.00000E+0
