Si_Thermo_01.dat
2025/06/06 10:35:40 - 11:13:11
ƒÆ : 35.1374 deg
2ƒÆ : 69.5929 deg
ƒÔ : 90.2177 deg
ƒÓ : 0.0000 deg
Sz : 13.266 mm
Rx : 0.0000 deg
Ry : 0.0087 deg
I0 slit H : 0.10 mm
I0 slit W : 5.00 mm
R1 slit H : 0.10 mm
R1 slit W : 5.00 mm
R2 slit H : 0.10 mm
R2 slit W : 5.00 mm
Scan axis : 2ƒÆ/ƒÆ
Start: 68.5929 deg, End: 70.5929 deg
Step: 0.0100 deg, Time:10.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   69.7229,          2666,       4549.3754,     1.00000E+0
   69.7329,          2457,       4549.8060,     1.00000E+0
   69.7429,          2062,       4544.7777,     1.00000E+0
   69.7529,          1857,       4534.7977,     1.00000E+0
   69.7629,          1656,       4526.9100,     1.00000E+0
   69.7729,          1438,       4529.9892,     1.00000E+0
   69.7829,          1283,       4540.9587,     1.00000E+0
   69.7929,          1155,       4548.7281,     1.00000E+0
   69.8029,          1066,       4541.7120,     1.00000E+0
   69.8129,           975,       4528.3088,     1.00000E+0
   69.8229,           863,       4516.1889,     1.00000E+0
   69.8329,           839,       4519.4915,     1.00000E+0
   69.8429,           786,       4516.6476,     1.00000E+0
   69.8529,           656,       4520.3966,     1.00000E+0
   69.8629,           630,       4518.3960,     1.00000E+0
   69.8729,           645,       4510.4490,     1.00000E+0
   69.8829,           607,       4506.6204,     1.00000E+0
   69.8929,           524,       4502.7285,     1.00000E+0
   69.9029,           483,       4504.2965,     1.00000E+0
   69.9129,           476,       4507.7098,     1.00000E+0
   69.9229,           436,       4498.8077,     1.00000E+0
   69.9329,           425,       4490.9875,     1.00000E+0
   69.9429,           372,       4490.9865,     1.00000E+0
   69.9529,           349,       4490.6721,     1.00000E+0
   69.9629,           350,       4498.7148,     1.00000E+0
   69.9729,           360,       4492.6812,     1.00000E+0
   69.9829,           325,       4490.0217,     1.00000E+0
   69.9929,           305,       4492.0169,     1.00000E+0
   70.0029,           290,       4491.4522,     1.00000E+0
   70.0129,           292,       4480.7604,     1.00000E+0
   70.0229,           245,       4471.6633,     1.00000E+0
   70.0329,           239,       4461.8892,     1.00000E+0
   70.0429,           231,       4464.0226,     1.00000E+0
   70.0529,           214,       4470.0638,     1.00000E+0
   70.0629,           218,       4474.2543,     1.00000E+0
   70.0729,           216,       4478.6436,     1.00000E+0
   70.0829,           187,       4471.5420,     1.00000E+0
   70.0929,           196,       4461.5222,     1.00000E+0
   70.1029,           169,       4454.9506,     1.00000E+0
   70.1129,           204,       4451.0849,     1.00000E+0
   70.1229,           153,       4457.1946,     1.00000E+0
   70.1329,           155,       4457.4023,     1.00000E+0
   70.1429,           138,       4450.4776,     1.00000E+0
   70.1529,           150,       4451.2710,     1.00000E+0
   70.1629,           132,       4449.5425,     1.00000E+0
   70.1729,           142,       4444.2674,     1.00000E+0
   70.1829,           137,       4445.1985,     1.00000E+0
   70.1929,           114,       4445.3547,     1.00000E+0
   70.2029,           131,       4445.8943,     1.00000E+0
   70.2129,           112,       4434.7821,     1.00000E+0
   70.2229,           106,       4428.6169,     1.00000E+0
   70.2329,            91,       4429.0323,     1.00000E+0
   70.2429,            96,       4431.8089,     1.00000E+0
   70.2529,            96,       4435.6741,     1.00000E+0
   70.2629,            98,       4435.9458,     1.00000E+0
   70.2729,           115,       4427.9192,     1.00000E+0
   70.2829,            90,       4423.7599,     1.00000E+0
   70.2929,           106,       4415.6806,     1.00000E+0
   70.3029,            84,       4409.0931,     1.00000E+0
   70.3129,            78,       4410.6062,     1.00000E+0
   70.3229,            75,       4413.6456,     1.00000E+0
   70.3329,            64,       4411.5320,     1.00000E+0
   70.3429,            76,       4411.1122,     1.00000E+0
   70.3529,            67,       4413.2084,     1.00000E+0
   70.3629,            56,       4404.4162,     1.00000E+0
   70.3729,            59,       4399.8718,     1.00000E+0
   70.3829,            64,       4398.7090,     1.00000E+0
   70.3929,            57,       4398.4425,     1.00000E+0
   70.4029,            68,       4397.2710,     1.00000E+0
   70.4129,            51,       4398.4520,     1.00000E+0
   70.4229,            41,       4391.9762,     1.00000E+0
   70.4329,            54,       4391.4205,     1.00000E+0
   70.4429,            47,       4387.0173,     1.00000E+0
   70.4529,            44,       4384.7100,     1.00000E+0
   70.4629,            50,       4382.8917,     1.00000E+0
   70.4729,            41,       4382.2983,     1.00000E+0
   70.4829,            27,       4382.8638,     1.00000E+0
   70.4929,            38,       4378.2242,     1.00000E+0
   70.5029,            32,       4378.5051,     1.00000E+0
   70.5129,            38,       4371.3616,     1.00000E+0
   70.5229,            37,       4370.3353,     1.00000E+0
   70.5329,            35,       4369.8110,     1.00000E+0
   70.5429,            27,       4368.9894,     1.00000E+0
   70.5529,            32,       4363.2268,     1.00000E+0
   70.5629,            29,       4354.6965,     1.00000E+0
   70.5729,            29,       4356.0397,     1.00000E+0
   70.5829,            30,       4356.1687,     1.00000E+0
   70.5929,            32,       4358.6857,     1.00000E+0
